SESSION MODE gear=0 mode=NORMAL_PHOTO vout=0 fpsTarget=30
CAMRUN BEGIN ts=1789977262506 gear=0 analyze=640x480 show=960x960 rotation=90 settleMs=45000 warmupFrames=10 window=30 detModel=models/y5fu_320x_head_fp32.ms recModel=models/rpv3_mdict_160_r3.ms analyzeTargetW=640 fpsTarget=30
STREAM START show=960x960 analyze=640x480 rot=90 mode=NORMAL_PHOTO vout=0 fpsTarget=30
STAGE n=0 conv=9.7100 infer=150.3120 count=0 wh=480x640 rgbaSum=120960613 stages=-
STAGE n=0 conv=2.6222 infer=15.5389 count=0 wh=480x640 rgbaSum=120582894 stages=-
GEAR SWITCH -> 7 (视频+推理(生产后端)：60fps 供给下测产能) settle restarts
STAGE n=0 conv=3.5323 infer=33.7938 count=0 wh=480x640 rgbaSum=120679329 stages=-
SESSION MODE gear=7 mode=NORMAL_VIDEO vout=1 fpsTarget=60
STREAM START show=960x960 analyze=640x480 rot=90 mode=NORMAL_VIDEO vout=1 fpsTarget=60
STAGE n=0 conv=3.5128 infer=44.3264 count=0 wh=480x640 rgbaSum=130776152 stages=-
STAGE n=30 conv=3.6058 infer=20.5270 count=0 wh=480x640 rgbaSum=130210182 stages=-
STAGE n=60 conv=2.6980 infer=21.2002 count=0 wh=480x640 rgbaSum=130445102 stages=-
STAGE n=90 conv=10.4284 infer=25.4144 count=0 wh=480x640 rgbaSum=130511192 stages=-
STAGE n=120 conv=2.8264 infer=19.9392 count=0 wh=480x640 rgbaSum=130409656 stages=-
STAGE n=150 conv=2.6148 infer=17.2816 count=0 wh=480x640 rgbaSum=130588120 stages=-
STAGE n=180 conv=2.4923 infer=18.2372 count=0 wh=480x640 rgbaSum=130587102 stages=-
STAGE n=210 conv=2.5069 infer=16.4336 count=0 wh=480x640 rgbaSum=130533268 stages=-
STAGE n=240 conv=9.2541 infer=22.3323 count=0 wh=480x640 rgbaSum=130617003 stages=-
STAGE n=270 conv=2.4919 infer=18.1484 count=0 wh=480x640 rgbaSum=130546739 stages=-
STAGE n=300 conv=2.6658 infer=22.6000 count=0 wh=480x640 rgbaSum=130554043 stages=-
STAGE n=330 conv=3.2158 infer=15.8994 count=0 wh=480x640 rgbaSum=130525805 stages=-
STAGE n=360 conv=3.1337 infer=17.4923 count=0 wh=480x640 rgbaSum=130597859 stages=-
STAGE n=390 conv=4.5444 infer=31.1852 count=0 wh=480x640 rgbaSum=130548003 stages=-
STAGE n=420 conv=2.7192 infer=18.3980 count=0 wh=480x640 rgbaSum=130553468 stages=-
STAGE n=450 conv=2.5705 infer=18.4539 count=0 wh=480x640 rgbaSum=130398225 stages=-
STAGE n=480 conv=2.9233 infer=20.0014 count=0 wh=480x640 rgbaSum=130362304 stages=-
STAGE n=510 conv=2.6367 infer=18.9837 count=0 wh=480x640 rgbaSum=130485213 stages=-
STAGE n=540 conv=2.9072 infer=19.6241 count=0 wh=480x640 rgbaSum=130477796 stages=-
STAGE n=570 conv=3.1033 infer=21.3552 count=0 wh=480x640 rgbaSum=130485184 stages=-
STAGE n=600 conv=2.6689 infer=18.9202 count=0 wh=480x640 rgbaSum=130558806 stages=-
STAGE n=630 conv=2.5478 infer=20.8727 count=0 wh=480x640 rgbaSum=130706209 stages=-
STAGE n=660 conv=2.7492 infer=24.0784 count=0 wh=480x640 rgbaSum=130643659 stages=-
STAGE n=690 conv=2.5450 infer=19.6286 count=0 wh=480x640 rgbaSum=130580188 stages=-
STAGE n=720 conv=2.6538 infer=17.2239 count=0 wh=480x640 rgbaSum=130580284 stages=-
STAGE n=750 conv=9.7912 infer=21.7094 count=0 wh=480x640 rgbaSum=130629510 stages=-
STAGE n=780 conv=3.8064 infer=17.8578 count=0 wh=480x640 rgbaSum=130577712 stages=-
STAGE n=810 conv=11.9863 infer=38.1256 count=0 wh=480x640 rgbaSum=130594262 stages=-
STAGE n=840 conv=3.1744 infer=19.0347 count=0 wh=480x640 rgbaSum=131098905 stages=-
STAGE n=870 conv=2.5598 infer=17.8589 count=0 wh=480x640 rgbaSum=131002228 stages=-
STAGE n=900 conv=5.7748 infer=25.7630 count=0 wh=480x640 rgbaSum=130876620 stages=-
STAGE n=930 conv=2.8291 infer=32.7400 count=0 wh=480x640 rgbaSum=130639078 stages=-
STAGE n=960 conv=3.2381 infer=60.3997 count=0 wh=480x640 rgbaSum=130750790 stages=-
STAGE n=990 conv=2.7686 infer=23.5052 count=0 wh=480x640 rgbaSum=135534274 stages=-
STAGE n=1020 conv=3.2781 infer=29.1480 count=0 wh=480x640 rgbaSum=136381650 stages=-
STAGE n=1050 conv=11.6753 infer=55.6419 count=0 wh=480x640 rgbaSum=135853596 stages=-
GEAR SWITCH -> 8 (视频+推理(全 NPU)：60fps 供给下测产能) settle restarts
STAGE n=0 conv=8.5688 infer=89.3822 count=0 wh=480x640 rgbaSum=134439033 stages=-
STAGE n=0 conv=6.9014 infer=18.8288 count=0 wh=480x640 rgbaSum=134602183 stages=-
STAGE n=30 conv=8.2348 infer=14.6050 count=0 wh=480x640 rgbaSum=135345642 stages=-
STAGE n=60 conv=3.7420 infer=13.8825 count=0 wh=480x640 rgbaSum=131861657 stages=-
STAGE n=90 conv=2.6583 infer=13.2780 count=0 wh=480x640 rgbaSum=130863412 stages=-
STAGE n=120 conv=2.6450 infer=9.8863 count=0 wh=480x640 rgbaSum=131489801 stages=-
