source,gear,win,arrive,done,dropped,cum_arrived,cum_done,cum_dropped,hit_n,empty_n,rt_hit_p50,rt_empty_p50,prep_hit_p50,prep_empty_p50,thermal,battC,bucketed
camera_sweep1.log,0,1,20.62,21.11,0,42,43,0,30,0,40.0,-1.0,1.0,-1.0,4,43.0,True
camera_sweep1.log,0,2,23.15,23.15,0,89,90,0,30,0,38.0,-1.0,1.0,-1.0,4,43.0,True
camera_sweep1.log,0,3,26.33,26.33,0,142,143,0,30,0,32.0,-1.0,1.0,-1.0,4,43.0,True
camera_sweep1.log,0,4,23.86,23.36,0,190,190,0,30,0,38.0,-1.0,1.0,-1.0,4,43.0,True
camera_sweep1.log,0,5,24.46,24.46,0,239,239,0,30,0,37.0,-1.0,1.0,-1.0,4,43.0,True
camera_sweep1.log,0,6,26.21,26.71,0,292,293,0,30,30,41.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,7,28.0,28.0,0,349,350,0,30,30,41.0,28.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,8,28.63,28.63,0,407,408,0,30,30,41.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,9,26.35,25.87,0,461,461,0,30,30,41.0,31.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,10,26.39,26.89,0,514,515,0,30,30,41.0,30.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,11,25.63,25.14,0,566,566,0,30,30,41.0,32.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,12,25.3,25.3,0,617,617,0,30,30,41.0,31.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,13,24.82,24.82,0,668,668,0,30,30,34.0,32.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,14,25.5,26.0,0,719,720,0,30,30,36.0,35.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,15,26.28,25.79,0,773,773,0,30,30,36.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,16,25.05,25.05,0,824,824,0,30,30,39.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,17,21.8,21.8,0,868,868,0,30,30,43.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,18,23.45,23.45,0,915,915,0,30,30,39.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,19,21.97,21.97,0,959,959,0,30,30,45.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,20,21.31,21.31,0,1002,1002,0,30,30,39.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,21,23.42,23.42,0,1049,1049,0,30,30,33.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,22,22.97,22.97,0,1095,1095,0,30,30,37.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,23,24.74,25.24,0,1145,1146,0,30,30,36.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,24,24.79,24.29,0,1195,1195,0,30,30,32.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,0,25,22.75,22.75,0,1241,1241,0,30,30,44.0,29.0,1.0,1.0,4,43.0,True
camera_sweep1.log,1,26,30.06,30.06,0,61,61,0,0,30,-1.0,19.0,-1.0,1.0,4,43.0,True
camera_sweep1.log,1,27,29.99,29.99,0,122,122,0,0,30,-1.0,20.0,-1.0,1.0,4,43.0,True
camera_sweep1.log,1,28,29.87,29.87,0,183,183,0,0,30,-1.0,20.0,-1.0,1.0,4,43.0,True
camera_sweep1.log,1,29,30.15,30.15,0,244,244,0,0,30,-1.0,19.0,-1.0,1.0,4,43.0,True
camera_sweep1.log,1,30,29.96,29.96,0,305,305,0,0,30,-1.0,19.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,31,29.98,29.98,0,366,366,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,32,30.05,30.05,0,61,61,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,33,30.08,30.08,0,122,122,0,0,30,-1.0,23.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,34,29.93,29.93,0,182,182,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,35,30.17,30.17,0,243,243,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,36,29.88,29.88,0,303,303,0,0,30,-1.0,19.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,37,30.35,29.85,0,364,363,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,38,29.53,30.02,0,424,424,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,39,30.05,30.05,0,485,485,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,40,30.18,30.18,0,546,546,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,41,29.46,29.46,0,605,605,0,0,30,-1.0,23.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,42,30.27,29.79,0,667,666,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,43,29.66,30.15,0,727,727,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,44,30.42,29.93,0,789,788,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,45,29.62,30.11,0,849,849,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,46,29.96,29.96,0,909,909,0,0,30,-1.0,23.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,47,30.2,30.2,0,970,970,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,48,29.85,29.85,0,1030,1030,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,49,30.02,30.02,0,1091,1091,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,50,30.08,30.08,0,1152,1152,0,0,30,-1.0,22.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,51,29.85,29.85,0,1212,1212,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,52,30.2,30.2,0,1273,1273,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,53,29.9,29.9,0,1334,1334,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,54,30.3,29.81,0,1396,1395,0,0,30,-1.0,19.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,55,29.91,30.41,0,1456,1456,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,56,29.88,29.88,0,1516,1516,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,57,29.43,29.43,0,1576,1576,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,58,30.41,29.92,0,1638,1637,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,59,29.62,30.11,0,1698,1698,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,60,30.06,30.06,0,1759,1759,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,61,29.44,29.44,0,1818,1818,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,62,30.2,30.2,0,1879,1879,0,0,30,-1.0,17.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,63,29.84,29.84,0,1939,1939,0,0,30,-1.0,18.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,64,29.91,29.91,0,1999,1999,0,0,30,-1.0,19.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,65,30.23,30.23,0,2060,2060,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,66,29.41,29.41,0,2119,2119,0,0,30,-1.0,22.0,-1.0,1.0,4,41.0,True
camera_sweep1.log,1,67,30.35,29.85,0,2180,2179,0,0,30,-1.0,22.0,-1.0,1.0,4,41.0,True
camera_sweep1.log,1,68,29.62,30.11,0,2240,2240,0,0,30,-1.0,23.0,-1.0,1.0,4,41.0,True
camera_sweep1.log,1,69,30.15,30.15,0,2301,2301,0,0,30,-1.0,21.0,-1.0,1.0,4,41.0,True
camera_sweep1.log,1,70,30.0,30.0,0,2361,2361,0,0,30,-1.0,20.0,-1.0,1.0,4,41.0,True
camera_sweep1.log,1,71,29.37,29.37,0,2421,2421,0,0,30,-1.0,20.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,72,30.23,30.23,0,2482,2482,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,73,29.94,29.94,0,2542,2542,0,0,30,-1.0,19.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,74,29.88,29.88,0,2602,2602,0,0,30,-1.0,21.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,75,30.02,30.02,0,2663,2663,0,0,30,-1.0,23.0,-1.0,1.0,4,42.0,True
camera_sweep1.log,1,76,29.75,29.75,0,2723,2723,0,10,30,29.0,20.0,1.0,1.0,4,42.0,True
camera_sweep1.log,1,77,30.06,29.57,0,2784,2783,0,30,30,26.0,20.0,1.0,1.0,4,42.0,True
camera_sweep1.log,1,78,26.3,26.8,0,2837,2837,0,30,30,26.0,20.0,1.0,1.0,4,42.0,True
camera_sweep1.log,1,79,29.32,28.83,0,2896,2895,0,30,30,27.0,20.0,1.0,1.0,4,42.0,True
camera_sweep1.log,1,80,28.68,29.18,0,2954,2954,0,30,30,27.0,20.0,1.0,1.0,4,42.0,True
camera_sweep1.log,1,81,28.86,28.36,0,3012,3011,0,30,30,28.0,20.0,1.0,1.0,4,41.0,True
camera_sweep1.log,3,82,29.94,29.94,0,60,60,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,83,30.08,30.08,0,121,121,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,84,29.95,29.95,0,182,182,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,85,29.57,29.57,0,242,242,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,86,29.92,29.92,0,303,303,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,87,30.14,30.14,0,364,364,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,88,29.94,29.94,0,424,424,0,0,0,-1.0,-1.0,-1.0,-1.0,4,41.0,True
camera_sweep1.log,3,89,30.03,30.03,0,485,485,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,90,29.99,29.99,0,545,545,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,91,28.94,28.94,0,603,603,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,92,26.93,26.93,0,657,657,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,93,29.11,29.11,0,716,716,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,94,29.97,29.97,0,776,776,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,95,30.0,30.0,0,836,836,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,96,30.09,30.09,0,897,897,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,97,29.91,29.91,0,957,957,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,98,30.09,30.09,0,1018,1018,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,99,29.98,29.98,0,1079,1079,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,100,30.02,30.02,0,1140,1140,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,101,30.0,30.0,0,1200,1200,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,102,29.93,29.93,0,1261,1261,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,103,30.15,30.15,0,1322,1322,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,104,29.96,29.96,0,1382,1382,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,105,29.99,29.99,0,1442,1442,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,106,29.98,29.98,0,1503,1503,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,107,30.18,30.18,0,1564,1564,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,108,29.93,29.93,0,1624,1624,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,109,29.9,29.9,0,1684,1684,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,110,30.0,30.0,0,1744,1744,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
camera_sweep1.log,3,111,29.98,29.98,0,1805,1805,0,0,0,-1.0,-1.0,-1.0,-1.0,3,41.0,True
