round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2
0,0,2,36.0,100,3,2,86.9792,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
1,15,2,36.0,100,3,2,,-,,,,,
2,30,2,36.0,100,3,2,195.977,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
3,45,2,37.0,100,3,2,138.0678,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
4,60,2,37.0,100,3,2,168.8717,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
5,75,2,36.0,100,3,2,134.5861,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
6,90,2,36.0,100,3,2,127.4575,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
7,105,2,36.0,100,3,2,121.3347,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
8,120,2,36.0,100,3,2,153.2634,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
9,135,2,36.0,100,3,2,208.242,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
10,150,2,36.0,100,3,2,139.9409,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
11,165,2,36.0,100,3,2,114.0738,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
12,180,2,36.0,100,3,2,190.1706,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
13,195,2,36.0,100,3,2,125.1469,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
14,210,2,36.0,100,3,2,151.3792,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
15,225,2,36.0,100,3,2,134.6991,苏ED512,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,3.0965
