round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2,detect_ms,letterbox_ms,encInfer_ms,decNms_ms,rectify_ms,recog_ms,cls_ms,pack_ms,infer_ms,cpu_side_ms,npu_side_ms
0,0,2,35.0,100,3,2,28.0566,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,19.8525,4.3033,14.8202,0.0414,1.6158,6.3053,0.0842,0.3381,14.4820,21.5525,6.3053
1,15,2,35.0,100,3,2,68.337,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,51.8956,9.8484,41.0988,0.0258,2.2441,14.0711,0.0884,1.4445,39.6542,54.2281,14.0711
2,30,2,35.0,100,3,2,92.2616,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,59.5359,9.9611,46.3392,0.0786,7.8514,24.4592,0.3564,1.4891,44.8502,67.7437,24.4592
3,45,2,35.0,100,3,2,90.8398,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,60.2497,9.8456,47.0967,0.0842,7.7656,22.5016,0.2731,1.4433,45.6534,68.2884,22.5016
4,60,2,35.0,100,3,2,93.575,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,63.5739,9.8578,50.5078,0.0794,7.9883,21.8680,0.1094,1.4380,49.0698,71.6716,21.8680
5,75,2,35.0,100,3,2,49.0663,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,33.3080,3.2652,29.1909,0.0227,1.8592,13.7873,0.0947,0.3772,28.8137,35.2619,13.7873
6,90,2,35.0,100,3,2,65.1183,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,47.6731,9.8770,36.8367,0.0230,2.2697,15.0233,0.1130,1.4420,35.3947,50.0558,15.0233
7,105,2,35.0,100,3,2,74.8963,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,57.8331,10.0222,46.5405,0.0314,2.4938,14.3798,0.1386,1.4752,45.0653,60.4655,14.3798
8,120,2,35.0,100,3,2,56.3058,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,38.7639,9.8198,27.8670,0.0270,2.1762,15.2339,0.0967,1.5033,26.3638,41.0368,15.2339
9,135,2,35.0,100,3,2,36.9377,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,18.5669,2.9447,14.6305,0.0250,1.7677,16.4553,0.1231,0.2925,14.3380,20.4577,16.4553
10,150,2,35.0,100,3,2,68.5209,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.5928,10.1167,39.2642,0.0322,2.5666,15.2078,0.1153,1.4380,37.8262,53.2747,15.2078
11,165,2,35.0,100,3,2,62.9706,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,55.3233,9.9361,44.5184,0.0219,1.9867,5.5217,0.1034,1.4898,43.0286,57.4134,5.5217
12,180,2,35.0,100,3,2,46.6061,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,30.3381,10.0595,19.2952,0.0238,2.0700,14.0580,0.1042,1.5220,17.7731,32.5123,14.0580
13,195,2,35.0,100,3,2,74.9264,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,59.3394,9.7345,48.7041,0.0259,1.9045,13.5403,0.0953,1.4378,47.2663,61.3392,13.5403
14,210,2,35.0,100,3,2,47.0212,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,32.4445,3.3623,28.4062,0.0177,1.5778,12.8950,0.0881,0.5941,27.8122,34.1104,12.8950
15,225,2,35.0,100,3,2,70.3512,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,53.7600,9.7423,43.0713,0.0248,2.1598,14.2878,0.1063,1.4386,41.6327,56.0261,14.2878
16,240,2,35.0,100,3,2,65.3892,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,49.0345,9.7869,38.2509,0.0238,2.0242,14.2113,0.0842,1.4450,36.8059,51.1429,14.2113
17,255,2,35.0,100,3,2,68.7738,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.6469,10.5030,38.2797,0.0452,2.9930,14.7458,0.1531,1.4389,36.8408,53.7930,14.7458
18,270,2,35.0,100,3,2,50.5341,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,33.7259,9.9673,22.7920,0.0281,2.2119,14.4433,0.1011,1.4845,21.3075,36.0389,14.4433
19,285,2,35.0,100,3,2,69.8936,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,53.1403,9.9361,42.1953,0.0241,2.2964,14.3277,0.0939,1.4364,40.7589,55.5306,14.3277
20,300,2,35.0,100,3,2,98.3097,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,69.6084,9.8144,56.2523,0.0780,7.7180,20.7384,0.2039,1.4425,54.8098,77.5303,20.7384
21,315,2,35.0,100,3,2,91.8097,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,63.5639,9.8862,50.4295,0.0716,7.6505,20.3541,0.2027,1.4384,48.9911,71.4171,20.3541
22,330,2,35.0,100,3,2,51.5877,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,36.0428,9.9686,25.3475,0.0184,1.6033,13.8241,0.0817,1.4439,23.9036,37.7278,13.8241
23,345,2,35.0,100,3,2,72.1283,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,52.3034,9.8938,40.6139,0.0452,4.2503,15.3883,0.1447,1.4812,39.1327,56.6984,15.3883
24,360,2,35.0,100,3,2,74.6744,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,56.6853,9.9833,45.2850,0.0336,3.1702,14.6675,0.1120,1.4389,43.8461,59.9675,14.6675
25,375,2,35.0,100,3,2,44.3769,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,29.7164,2.6600,26.5670,0.0184,1.5364,13.0189,0.0902,0.4109,26.1561,31.3430,13.0189
26,390,2,35.0,100,3,2,88.1113,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.5783,9.9028,49.2742,0.0745,7.6628,17.7230,0.1116,1.5089,47.7653,70.3527,17.7230
27,405,2,35.0,100,3,2,61.7345,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,45.4613,9.8080,34.7977,0.0239,1.8663,14.2720,0.0983,1.4395,33.3581,47.4259,14.2720
28,420,2,35.0,100,3,2,51.178,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,34.9036,4.5898,29.2856,0.0291,2.1623,13.9911,0.0994,0.5919,28.6938,37.1653,13.9911
29,435,2,35.0,100,3,2,42.3522,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,27.5387,2.3281,24.5203,0.0187,1.5713,13.1038,0.1216,0.3181,24.2022,29.2316,13.1038
30,450,2,35.0,100,3,2,87.3634,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,71.5152,9.8969,60.8709,0.0228,1.6762,14.0333,0.0897,1.4884,59.3825,73.2811,14.0333
31,465,2,35.0,100,3,2,63.8995,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,48.7825,9.7756,38.2319,0.0214,1.5719,13.4117,0.0836,1.4409,36.7909,50.4380,13.4117
32,480,2,35.0,100,3,2,67.745,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.1842,9.9272,39.1594,0.0286,2.3820,15.0252,0.1173,1.4409,37.7184,52.6835,15.0252
33,495,2,35.0,100,3,2,71.6888,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.2198,9.8070,43.5309,0.0322,2.7953,14.5138,0.1128,1.4945,42.0364,57.1279,14.5138
34,510,2,35.0,100,3,2,65.5377,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.1409,9.7784,39.5308,0.0219,1.7673,13.4820,0.1114,1.4950,38.0358,52.0196,13.4820
