round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2,detect_ms,letterbox_ms,encInfer_ms,decNms_ms,rectify_ms,recog_ms,cls_ms,pack_ms,infer_ms,cpu_side_ms,npu_side_ms
0,0,1,34.0,97,1,1,31.9977,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,16.0958,3.0505,12.3161,0.0228,1.6519,14.1234,0.1094,0.4519,11.8642,17.8571,14.1234
1,15,1,34.0,97,1,1,83.8097,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.1542,15.0984,33.1067,0.1420,12.9620,16.2486,0.3919,3.6031,29.5036,67.5081,16.2486
2,30,1,34.0,97,1,1,83.4756,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,57.2470,10.5455,43.7773,0.0831,8.8369,16.9594,0.3897,3.3731,40.4042,66.4736,16.9594
3,45,1,34.0,97,1,1,89.9008,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.4420,13.8727,45.9186,0.1009,7.2737,19.7973,0.3313,3.3800,42.5386,70.0470,19.7973
4,60,1,34.0,97,1,1,80.2205,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.0831,10.3022,40.2856,0.0869,6.5387,19.1791,0.3622,2.1228,38.1628,60.9840,19.1791
5,75,1,34.0,97,1,1,82.5892,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,57.6439,12.0748,43.0647,0.0800,5.9558,18.6652,0.2773,2.8817,40.1830,63.8770,18.6652
6,90,1,34.0,97,1,1,77.0542,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,47.9319,13.9537,29.8622,0.1341,12.1400,16.5423,0.3813,3.4286,26.4336,60.4532,16.5423
7,105,1,34.0,97,1,1,85.322,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,60.8717,9.9269,47.7816,0.0848,6.3531,17.7650,0.2908,2.3081,45.4734,67.5156,17.7650
8,120,1,34.0,97,1,1,94.303,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,62.8980,12.2113,46.5175,0.1248,12.2800,18.5206,0.5405,2.9938,43.5238,75.7185,18.5206
9,135,1,34.0,97,1,1,102.6867,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,69.7378,12.0463,54.7373,0.1012,6.8139,25.7806,0.3064,2.9345,51.8028,76.8581,25.7806
10,150,1,34.0,97,1,1,71.3487,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,49.2500,9.3847,37.5266,0.0819,5.9816,15.7897,0.2858,2.1258,35.4008,55.5174,15.7897
11,165,1,34.0,97,1,1,74.7853,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,47.8600,9.9230,34.8077,0.1277,8.0984,18.0897,0.6864,2.3933,32.4144,56.6448,18.0897
12,180,1,34.0,97,1,1,79.3339,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.7055,10.0902,42.2341,0.0795,6.8619,17.2848,0.4361,2.3769,39.8572,62.0035,17.2848
13,195,1,34.0,97,1,1,87.8936,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.1637,13.7806,43.8820,0.0756,6.0595,20.3197,0.2983,3.3931,40.4889,67.5215,20.3197
14,210,1,33.0,97,1,1,103.2612,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,68.4441,12.6919,52.7778,0.1114,7.4481,27.0003,0.3153,2.9709,49.8069,76.2075,27.0003
15,225,1,33.0,97,1,1,68.1964,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,45.4358,9.9959,32.2159,0.0777,6.7587,15.6663,0.2819,2.1230,30.0930,52.4764,15.6663
16,240,1,33.0,97,1,1,68.2378,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,45.8609,8.1555,34.5448,0.0834,6.5184,15.4578,0.3597,2.0566,32.4883,52.7390,15.4578
17,255,1,33.0,98,1,1,76.8261,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,52.6173,9.1416,39.4944,0.0927,7.9781,15.7578,0.4303,2.3136,37.1808,61.0257,15.7578
18,270,1,33.0,98,1,1,79.7845,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,56.0308,9.5222,43.6403,0.0778,7.5306,15.8167,0.3572,2.3644,41.2759,63.9186,15.8167
19,285,1,34.0,98,1,1,82.0695,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,57.8831,9.8909,45.1872,0.0736,7.3130,16.4281,0.3948,2.3680,42.8192,65.5909,16.4281
20,300,1,33.0,98,1,1,84.9948,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.6623,10.3256,48.8648,0.0920,6.2995,16.6836,0.2898,2.3003,46.5645,68.2516,16.6836
21,315,1,33.0,98,1,1,77.727,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.1889,9.8953,41.9686,0.0864,6.8484,16.3373,0.3075,2.3597,39.6089,61.3448,16.3373
22,330,1,33.0,98,1,1,98.7375,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.5136,14.3045,49.8486,0.0987,7.0950,24.7692,0.3050,3.3927,46.4559,73.9136,24.7692
23,345,1,33.0,98,1,1,66.1316,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,48.3306,8.6548,36.4492,0.0722,3.3073,14.1739,0.2817,1.8831,34.5661,51.9196,14.1739
24,360,1,33.0,98,1,1,91.3353,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,65.2373,12.0689,47.5623,0.1555,8.9672,16.7494,0.3309,2.9505,44.6119,74.5354,16.7494
