round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2,detect_ms,letterbox_ms,encInfer_ms,decNms_ms,rectify_ms,recog_ms,cls_ms,pack_ms,infer_ms,cpu_side_ms,npu_side_ms
0,0,2,35.0,100,3,2,39.4708,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,25.6003,6.3630,18.4372,0.0364,1.6173,11.5792,0.3647,0.3116,18.1256,27.5823,11.5792
1,15,2,35.0,100,3,2,68.5442,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,53.2659,10.5505,42.0588,0.0189,1.5938,13.5519,0.0858,1.4456,40.6131,54.9455,13.5519
2,30,2,35.0,100,3,2,108.8038,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,80.2989,10.7453,66.9398,0.0825,7.6330,20.5934,0.2098,1.4373,65.5025,88.1417,20.5934
3,45,2,35.0,100,3,2,95.7873,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.9753,10.3655,53.8573,0.0828,7.6825,20.8814,0.2058,1.4397,52.4177,74.8636,20.8814
4,60,2,35.0,100,3,2,93.8336,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.0045,10.8969,49.8091,0.0816,7.6828,21.8239,0.2700,1.4939,48.3152,71.9573,21.8239
5,75,2,35.0,100,3,2,66.9719,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,50.7730,10.1947,39.5820,0.0281,2.1664,13.8784,0.1067,1.4400,38.1420,53.0461,13.8784
6,90,2,35.0,100,3,2,53.2086,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,36.1755,10.0291,25.1802,0.0264,2.2127,14.6667,0.1156,1.4444,23.7358,38.5038,14.6667
7,105,2,35.0,100,3,2,72.4667,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.4659,10.0908,43.4025,0.0264,2.2000,15.6300,0.1231,1.4403,41.9622,56.7890,15.6300
8,120,2,35.0,100,3,2,96.5644,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,65.1800,10.0067,51.9823,0.0864,7.8078,23.1042,0.4292,1.4417,50.5406,73.4170,23.1042
9,135,2,35.0,100,3,2,93.3088,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.9761,10.4011,51.3363,0.0834,7.6747,20.3830,0.2322,1.4387,49.8975,72.8830,20.3830
10,150,2,35.0,100,3,2,90.6769,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.2509,10.2097,47.8272,0.0788,7.6902,21.4236,0.2708,1.4381,46.3891,69.2119,21.4236
11,165,2,35.0,100,3,2,85.32,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,68.3398,10.1180,57.2272,0.0256,2.1959,14.6372,0.1097,1.4470,55.7802,70.6454,14.6372
12,180,2,35.0,100,3,2,94.4409,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.7417,10.0505,51.4341,0.0819,7.6295,21.7505,0.2686,1.4455,49.9886,72.6398,21.7505
13,195,2,35.0,100,3,2,99.2653,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,69.6959,10.4420,56.0108,0.0878,7.7745,21.4706,0.2698,1.4414,54.5694,77.7402,21.4706
14,210,2,35.0,100,3,2,95.0287,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.8075,10.1209,51.4484,0.0806,7.6444,22.2627,0.2706,1.4912,49.9572,72.7225,22.2627
15,225,2,35.0,100,3,2,98.8983,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.4272,9.9542,54.1642,0.0812,7.6877,23.4509,0.2747,1.4394,52.7248,75.3896,23.4509
16,240,2,35.0,100,3,2,57.3878,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,41.2653,10.2433,30.2330,0.0194,1.6309,14.2944,0.0909,1.5752,28.6578,42.9871,14.2944
17,255,2,35.0,100,3,2,96.8938,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.0716,10.0097,52.8403,0.0828,7.7227,22.9453,0.1148,1.4398,51.4005,73.9091,22.9453
18,270,2,35.0,100,3,2,86.2847,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.4514,10.1786,47.9298,0.0830,7.6633,16.9478,0.1773,1.4959,46.4339,69.2920,16.9478
19,285,2,35.0,100,3,2,58.7495,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,42.4381,10.1470,31.5286,0.0217,1.6133,14.5767,0.0855,1.4412,30.0873,44.1369,14.5767
20,300,2,35.0,100,3,2,71.8448,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.1144,10.1706,42.9581,0.0311,2.2239,15.3275,0.1400,1.4495,41.5086,56.4783,15.3275
21,315,2,35.0,100,3,2,71.5975,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,56.4550,9.9373,45.7497,0.0222,1.6750,13.3427,0.0853,1.4953,44.2544,58.2153,13.3427
22,330,2,35.0,100,3,2,63.3302,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,48.1872,10.1866,37.3052,0.0192,1.5405,13.4597,0.0927,1.5080,35.7972,49.8204,13.4597
23,345,2,35.0,100,3,2,36.6447,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,19.1581,2.3305,16.0641,0.0284,1.6488,15.7330,0.0886,0.2950,15.7691,20.8955,15.7330
24,360,2,35.0,100,3,2,75.9116,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,58.5627,10.1683,47.6922,0.0255,2.2097,14.9781,0.1114,1.4767,46.2155,60.8838,14.9781
25,375,2,35.0,100,3,2,81.8066,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,66.1805,9.9611,55.4531,0.0202,1.5720,13.9380,0.0789,1.4416,54.0116,67.8314,13.9380
26,390,2,35.0,100,3,2,62.0667,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,45.0316,9.9934,34.2195,0.0236,2.1266,14.7550,0.1100,1.4402,32.7794,47.2682,14.7550
27,405,2,35.0,100,3,2,112.3344,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,81.1589,10.5869,67.3148,0.0770,7.6916,23.3339,0.1131,1.4392,65.8756,88.9636,23.3339
28,420,2,35.0,100,3,2,95.9794,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.5341,10.2080,54.1445,0.0825,7.6381,20.5542,0.2039,1.4434,52.7011,75.3761,20.5542
29,435,2,35.0,100,3,2,73.6862,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,55.3489,10.2583,44.1339,0.0259,2.4023,15.7823,0.1059,1.4444,42.6895,57.8571,15.7823
30,450,2,35.0,100,3,2,69.1883,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,52.1931,9.6403,41.7522,0.0258,1.8581,15.0047,0.0970,1.5023,40.2498,54.1482,15.0047
31,465,2,35.0,100,3,2,56.4842,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,37.6527,10.0670,26.2441,0.0322,2.6184,16.0639,0.1122,1.5200,24.7241,40.3833,16.0639
32,480,2,35.0,100,3,2,70.6206,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,53.5658,9.9294,42.6344,0.0333,2.2164,14.6695,0.1216,1.5211,41.1133,55.9038,14.6695
33,495,2,35.0,100,3,2,60.0102,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,44.4928,9.8067,33.6716,0.0300,1.9794,13.3989,0.1039,1.4397,32.2319,46.5761,13.3989
34,510,2,35.0,100,3,2,41.9444,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,26.2856,2.8208,22.7733,0.0198,2.0419,13.4856,0.1152,0.3119,22.4614,28.4427,13.4856
