round,t_s,thermal,battC,soc,charging,load,totalMs,code,cropSum,det_landed,det_l2,rec_landed,rec_l2,detect_ms,letterbox_ms,encInfer_ms,decNms_ms,rectify_ms,recog_ms,cls_ms,pack_ms,infer_ms,cpu_side_ms,npu_side_ms
0,0,3,39.0,78,1,3,37.1158,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,27.5561,7.6283,19.0938,0.0330,1.8600,6.1989,0.0877,0.9689,18.1248,29.5038,6.1989
1,15,3,39.0,78,1,3,61.5275,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,44.6152,10.1636,33.7720,0.0175,1.5705,15.2153,0.0920,1.4444,32.3277,46.2777,15.2153
2,30,3,38.0,78,1,3,71.0634,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,51.5695,10.0114,40.6084,0.0248,2.2130,17.0856,0.1575,1.4467,39.1617,53.9400,17.0856
3,45,3,39.0,78,1,3,99.9987,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,65.8498,10.1809,52.3558,0.1108,7.7080,26.0791,0.3195,1.4419,50.9139,73.8773,26.0791
4,60,3,38.0,78,1,3,99.9552,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.8817,10.3764,54.1992,0.0814,7.6250,24.1338,0.2711,1.4998,52.6994,75.7778,24.1338
5,75,3,38.0,78,1,3,80.5477,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.8572,10.1763,50.8286,0.0344,2.8564,15.6598,0.1341,1.4848,49.3438,64.8477,15.6598
6,90,3,38.0,78,1,3,64.9753,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,48.1655,10.4456,36.9655,0.0202,1.6520,15.0255,0.0927,1.4484,35.5170,49.9102,15.0255
7,105,3,38.0,78,1,3,101.1938,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.0894,10.1091,54.4894,0.0825,7.6472,26.1362,0.2741,1.4534,53.0359,75.0107,26.1362
8,120,3,38.0,78,1,3,99.0459,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,67.5828,10.1130,55.1195,0.0873,7.6495,23.4994,0.2689,1.4397,53.6798,75.5012,23.4994
9,135,3,38.0,78,1,3,64.9641,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,49.1647,10.0420,38.1998,0.0275,2.0163,13.6575,0.0881,1.4391,36.7608,51.2691,13.6575
10,150,3,38.0,79,1,3,92.6802,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.1603,10.0461,48.8469,0.0833,7.6755,23.5184,0.2700,1.4873,47.3595,69.1058,23.5184
11,165,3,38.0,79,1,3,70.2941,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,53.1838,10.0369,42.4633,0.0230,2.2259,14.6903,0.1397,1.4395,41.0238,55.5494,14.6903
12,180,3,37.0,79,1,3,93.3044,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,61.3330,9.9531,48.0464,0.0837,7.6480,23.9364,0.3330,1.4934,46.5530,69.3140,23.9364
13,195,3,37.0,79,1,3,86.5006,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,60.0420,10.0152,46.6667,0.1161,8.2672,17.9939,0.1584,1.4430,45.2238,68.4676,17.9939
14,210,3,37.0,79,1,3,80.8472,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,55.7920,10.0736,43.4503,0.0773,7.6691,17.1362,0.2066,1.4391,42.0112,63.6677,17.1362
15,225,3,37.0,79,1,3,96.1623,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,64.5648,10.0952,51.2645,0.0823,7.7875,23.4891,0.2752,1.4384,49.8261,72.6275,23.4891
16,240,3,37.0,79,1,3,63.3098,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,46.9820,10.8059,35.3272,0.0206,1.9109,14.2863,0.0916,1.4861,33.8411,48.9845,14.2863
17,255,3,37.0,79,1,3,78.7795,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,63.1870,10.8558,51.7731,0.0250,1.7698,13.6992,0.0841,1.4877,50.2855,65.0409,13.6992
18,270,3,37.0,79,1,3,71.3434,苏ED5172,2773473,CPU,1076.7692,NNRT:NPU_ohos.boot.hardware.kirin8020_v2_0,4.0489,54.6780,10.3098,43.6787,0.0300,2.1956,14.3245,0.0928,1.4478,42.2309,56.9664,14.3245
