name	status	size	log
add_const	OK	1606839	add_const.txt
avgpool	OK	1116	avgpool.txt
batchnorm	OK	2304	batchnorm.txt
cast_f16	OK	1006	cast_f16.txt
concat	OK	1606850	concat.txt
conv1x1	OK	5756	conv1x1.txt
conv3x3_s1	OK	38552	conv3x3_s1.txt
conv3x3_s2	OK	38552	conv3x3_s2.txt
conv5x5	OK	104061	conv5x5.txt
convtranspose	OK	38483	convtranspose.txt
div_const	OK	1606843	div_const.txt
dwconv3x3	OK	2160	dwconv3x3.txt
erf	OK	945	erf.txt
hardswish_explicit	OK	2268	hardswish_explicit.txt
leakyrelu	OK	1034	leakyrelu.txt
matmul_1024	OK	2098401	matmul_1024.txt
matmul_256	OK	132313	matmul_256.txt
max_const	OK	1606843	max_const.txt
maxpool	OK	1116	maxpool.txt
min_const	OK	1606843	min_const.txt
mul_const	OK	1606839	mul_const.txt
pad	OK	1372	pad.txt
reducemean	OK	1237	reducemean.txt
reducesum	OK	1243	reducesum.txt
relu	OK	1009	relu.txt
relu6_clip	OK	991	relu6_clip.txt
repro_mislabel	OK	404294	repro_mislabel.txt
reshape	OK	1233	reshape.txt
resize	OK	1316	resize.txt
rl_conv_k1_c128	OK	10061	rl_conv_k1_c128.txt
rl_conv_k1_c256	OK	18510	rl_conv_k1_c256.txt
rl_conv_k1_c512	OK	35406	rl_conv_k1_c512.txt
rl_conv_k1_c64	OK	5819	rl_conv_k1_c64.txt
rl_conv_k3_c128	OK	75598	rl_conv_k3_c128.txt
rl_conv_k3_c256	OK	149582	rl_conv_k3_c256.txt
rl_conv_k3_c512	OK	297550	rl_conv_k3_c512.txt
rl_conv_k3_c64	OK	38588	rl_conv_k3_c64.txt
rl_conv_k5_c256	OK	411726	rl_conv_k5_c256.txt
rl_conv_k5_c512	OK	821838	rl_conv_k5_c512.txt
rl_matmul_1024	OK	2098430	rl_matmul_1024.txt
rl_matmul_2048	OK	8389886	rl_matmul_2048.txt
rl_matmul_512	OK	525558	rl_matmul_512.txt
sigmoid	OK	1024	sigmoid.txt
silu_explicit	OK	1238	silu_explicit.txt
slice_channel	OK	1889	slice_channel.txt
softmax	OK	981	softmax.txt
softplus	OK	1029	softplus.txt
strided_slice	OK	1881	strided_slice.txt
tanh	OK	1009	tanh.txt
transpose	OK	1001	transpose.txt
unsqueeze	OK	1218	unsqueeze.txt
