op,bytes,compat,construct,build_rc,run_rc,p50_ms,min_ms,in_shape,out_shape
add_const,1606839,0,ok,0,0,3.226,0.77,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
avgpool,1116,0,ok,0,0,1.89,0.645,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x56x56]"
batchnorm,2304,0,ok,0,0,1.311,0.565,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
cast_f16,1006,0,ok,0,0,0.763,0.058,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT16,shape=[1x32x112x112]"
concat,1606850,0,ok,0,0,6.662,0.959,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x112x112]"
conv1x1,5756,0,ok,0,0,1.698,0.973,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x112x112]"
conv3x3_s1,38552,0,ok,0,0,1.697,0.861,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x112x112]"
conv3x3_s2,38552,0,ok,0,0,1.028,0.366,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x56x56]"
conv5x5,104061,0,ok,0,0,1.474,0.863,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x112x112]"
convtranspose,38483,0,ok,0,0,1.65,0.939,"name=input,dtype=FLOAT32,shape=[1x64x112x112]","name=output,dtype=FLOAT32,shape=[1x32x114x114]"
div_const,1606843,0,ok,0,0,1.335,0.602,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
dwconv3x3,2160,0,ok,0,0,1.386,0.585,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
erf,945,0,ok,0,0,4.65,3.872,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
hardswish_explicit,2268,0,ok,0,0,1.304,0.572,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
leakyrelu,1034,0,ok,0,0,2.185,0.528,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
matmul_1024,2098401,0,ok,0,0,1.816,0.429,"name=input,dtype=FLOAT32,shape=[1x1024x1x1]","name=output,dtype=FLOAT32,shape=[1x1024x1x1]"
matmul_256,132313,0,ok,0,0,0.91,0.206,"name=input,dtype=FLOAT32,shape=[1x256x1x1]","name=output,dtype=FLOAT32,shape=[1x256x1x1]"
max_const,1606843,0,ok,0,0,1.226,0.63,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
maxpool,1116,0,ok,0,0,1.032,0.384,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x56x56]"
min_const,1606843,0,ok,0,0,1.2,0.488,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
mul_const,1606839,0,ok,0,0,4.185,0.601,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
pad,1372,0,ok,0,0,1.237,0.552,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x114x114]"
reducemean,1237,0,ok,0,0,1.333,0.658,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x1x112x112]"
reducesum,1243,0,ok,0,0,1.413,0.611,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x1x112x112]"
relu,1009,0,ok,0,0,1.349,0.506,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
relu6_clip,991,0,ok,0,0,1.131,0.649,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x112x112]"
repro_mislabel,404294,0,ok,0,0,31.119,0.688,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x16x112x112]"
reshape,1233,0,ok,0,0,2.237,1.879,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x1x32x12544]"
resize,1316,0,ok,0,0,2.067,1.241,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x32x224x224]"
rl_conv_k1_c128,10061,0,ok,0,0,2.283,1.396,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x128x112x112]"
rl_conv_k1_c256,18510,0,ok,0,0,3.988,2.261,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x256x112x112]"
rl_conv_k1_c512,35406,0,ok,0,0,4.964,4.25,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x512x112x112]"
rl_conv_k1_c64,5819,0,ok,0,0,4.14,0.71,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x64x112x112]"
rl_conv_k3_c128,75598,0,ok,0,0,2.04,1.278,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x128x112x112]"
rl_conv_k3_c256,149582,0,ok,0,0,3.266,2.662,"name=input,dtype=FLOAT32,shape=[1x32x112x112]","name=output,dtype=FLOAT32,shape=[1x256x112x112]"
